SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,Unit at 245 W 104th St,New York,NY,10025,1265000,2,1.5,Upper West Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/245-W-104th-St-10025/home/45170579,REBNY,STRI372790,N,Y,40.800214,-73.9686086
MLS Listing,,Condo/Co-op,Unit at 35 W 82nd St,New York,NY,10024,1697000,2,1.5,Upper West Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/35-W-82nd-St-10024/home/45186718,REBNY,UCOM410965,N,Y,40.7835681,-73.972787
MLS Listing,,Condo/Co-op,Unit at 45 Christopher St,New York,NY,10014,1750000,1,1.0,West Village,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/45-Christopher-St-10014/home/45246242,REBNY,CORC6108112,N,Y,40.733877,-74.001795
MLS Listing,,Condo/Co-op,Unit at 70 W Little St,New York,NY,10004,2360000,2,2.0,Battery Park City,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/70-W-Little-St-10004/home/45218115,REBNY,INDU1011,N,Y,40.7070007,-74.0167564
MLS Listing,,Condo/Co-op,Unit at 301 E 81st St,New York,NY,10028,10975000,5,6.5,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/301-E-81st-St-10028/home/172519271,REBNY,DEGI3979409,N,Y,40.7745984,-73.9535703
MLS Listing,,Condo/Co-op,Unit at 35 Sutton Pl,New York,NY,10022,2250000,4,4.5,Middle East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/35-Sutton-Pl-10022/home/172519270,REBNY,CTRE2981990,N,Y,40.7583475,-73.9595715
MLS Listing,,Condo/Co-op,Unit at 235 W 102nd St,New York,NY,10025,595000,1,1.0,Upper West Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/235-W-102nd-St-10025/home/172519269,REBNY,DEGI4350032,N,Y,40.7988412,-73.9693618
MLS Listing,,Condo/Co-op,Unit at 301 E 81st St,New York,NY,10028,2925000,2,2.5,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/301-E-81st-St-10028/home/172519268,REBNY,DEGI3979396,N,Y,40.7745984,-73.9535703
MLS Listing,,Condo/Co-op,Unit at 315 E 88th St,New York,NY,10128,850000,2,1.0,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/315-E-88th-St-10128/home/45319766,REBNY,CORC6100366,N,Y,40.7789773,-73.949996
MLS Listing,,Condo/Co-op,Unit at 330 E 75th St,New York,NY,10021,1750000,2,2.0,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/330-E-75th-St-10021/home/45288280,REBNY,UCOM171869,N,Y,40.7697707,-73.9549916
MLS Listing,,Condo/Co-op,Unit at 201 W 72nd St,New York,NY,10023,1248000,1,1.0,Upper West Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/201-W-72nd-St-10023/home/45270185,REBNY,UCOM1533066,N,Y,40.779156,-73.9823843
MLS Listing,,Condo/Co-op,Unit at 394 Manhattan Ave,New York,NY,10026,1050000,3,2.0,Morningside Heights,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/394-Manhattan-Ave-10026/home/45196966,REBNY,CORC6105658,N,Y,40.8054472,-73.9562174
MLS Listing,,Condo/Co-op,Unit at 245 Tenth Ave,New York,NY,10001,5350000,3,3.0,Chelsea,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/245-10th-Ave-10001/home/172519265,REBNY,CORC6106211,N,Y,40.7488234,-74.0037737
MLS Listing,,Condo/Co-op,Unit at 11 Riverside Dr,New York,NY,10023,870000,1,1.0,Upper West Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/11-Riverside-Dr-10023/home/172519263,REBNY,HALS20254072,N,Y,40.7814737,-73.9847935
MLS Listing,,Condo/Co-op,Unit at 301 E 81st St,New York,NY,10028,3350000,2,2.5,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/301-E-81st-St-10028/home/172519262,REBNY,DEGI3980287,N,Y,40.7745984,-73.9535703
MLS Listing,,Condo/Co-op,Unit at 545 W End Ave,New York,NY,10024,750000,1,1.0,Upper West Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/545-W-End-Ave-10024/home/45179615,REBNY,HALS20237042,N,Y,40.7892182,-73.9778266
MLS Listing,,Condo/Co-op,Unit at 313 W 22nd St,New York,NY,10011,995000,1,1.0,Chelsea,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/313-W-22nd-St-10011/home/45248656,REBNY,HALS20189031,N,Y,40.7450453,-73.9994293
MLS Listing,,Condo/Co-op,Unit at 52 E End Ave,New York,NY,10028,899000,1,1.5,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/52-E-End-Ave-10028/home/45297481,REBNY,BOND1635440,N,Y,40.7723234,-73.9470597
MLS Listing,,Condo/Co-op,Unit at 301 E 81st St,New York,NY,10028,2775000,2,2.0,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/301-E-81st-St-10028/home/172519259,REBNY,DEGI3980365,N,Y,40.7745984,-73.9535703
MLS Listing,,Condo/Co-op,Unit at 1175 York Ave,New York,NY,10065,595000,0,1.0,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/1175-York-Ave-10065/home/172519258,REBNY,HALS20254419,N,Y,40.7615369,-73.9579786
MLS Listing,,Condo/Co-op,Unit at 235 W End Ave,New York,NY,10023,1495000,2,2.0,Upper West Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/235-W-End-Ave-10023/home/45271916,REBNY,DEGI4346329,N,Y,40.779109,-73.9855281
MLS Listing,,Condo/Co-op,Unit at 20 Pine St,New York,NY,10005,949000,1,1.0,Financial District,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/18-20-Pine-St-10005/home/146523521,REBNY,BOLD216149,N,Y,40.707729,-74.0097327
MLS Listing,,Condo/Co-op,Unit at 301 E 81st St,New York,NY,10028,6575000,4,4.5,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/301-E-81st-St-10028/home/172519255,REBNY,DEGI3980592,N,Y,40.7745984,-73.9535703
MLS Listing,,Condo/Co-op,Unit at 301 E 81st St,New York,NY,10028,3900000,2,2.5,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/301-E-81st-St-10028/home/172519254,REBNY,DEGI3980589,N,Y,40.7745984,-73.9535703
MLS Listing,,Condo/Co-op,Unit at 301 E 81st St,New York,NY,10028,4750000,3,3.5,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/301-E-81st-St-10028/home/172519253,REBNY,DEGI3980579,N,Y,40.7745984,-73.9535703
